"curve_identifier","replicate","instrument","ppfd","A","Ci","CO2_r_sp","TleafCnd","total_pressure"
"NA","UserDefCon","UserDefCon","UserDefCon","GasEx","GasEx","Status","GasEx","calculate_total_pressure"
"NA","NA","NA","micromol m^(-2) s^(-1)","micromol m^(-2) s^(-1)","micromol mol^(-1)","micromol mol^(-1)","degrees C","kPa"
"100 - wt-7 - ripe5","wt-7","ripe5","100","-2.13423010477838","23.5247265522447","10","27.076","98.898751"
"100 - wt-7 - ripe5","wt-7","ripe5","100","-1.80722253161352","31.5345980739354","20","26.9165","98.895419"
"100 - wt-7 - ripe5","wt-7","ripe5","100","-1.43973706713549","39.5155314629149","30","26.9771","98.886834"
"100 - wt-7 - ripe5","wt-7","ripe5","100","-1.09358647696178","47.8549115786604","40","27.0532","98.879217"
"100 - wt-7 - ripe5","wt-7","ripe5","100","-0.65747340718052","54.5146695183804","50","26.972","98.8804677"
"100 - wt-7 - ripe5","wt-7","ripe5","100","0.172070477101816","71.4477149366199","75","27.009","98.8816445"
"100 - wt-7 - ripe5","wt-7","ripe5","100","0.91821792585086","86.7115502414198","100","26.9261","98.8762803"
"100 - wt-7 - ripe5","wt-7","ripe5","100","1.83057765300131","122.069387993533","150","26.8585","98.868041"
"100 - wt-7 - ripe5","wt-7","ripe5","100","2.50343347277939","154.450991101104","200","26.9758","98.858666"
"100 - wt-7 - ripe5","wt-7","ripe5","100","3.57175182290163","220.202765824135","300","27.0341","98.86404"
"100 - wt-7 - ripe5","wt-7","ripe5","100","4.30249321115279","270.799039632521","400","27.0708","98.8609071"
"100 - wt-7 - ripe5","wt-7","ripe5","100","5.79406920829413","452.458424188442","500","26.9602","98.8882957"
"100 - wt-7 - ripe5","wt-7","ripe5","100","5.86470267968262","549.301436600642","600","27.0804","98.8822406"
"100 - wt-7 - ripe5","wt-7","ripe5","100","6.51503173566211","740.029906356708","800","27.0695","98.885341"
"100 - wt-7 - ripe5","wt-7","ripe5","100","6.80508077019804","934.021035841195","1000","26.7826","98.8819987"
"100 - wt-7 - ripe5","wt-7","ripe5","100","6.50669594732243","1128.04418344552","1200","26.9255","98.900278"
"100 - wt-7 - ripe5","wt-7","ripe5","100","6.82079028908295","1415.91430793476","1500","26.9654","98.909971"
