"curve_identifier","replicate","instrument","ppfd","A","Ci","CO2_r_sp","TleafCnd","total_pressure"
"NA","UserDefCon","UserDefCon","UserDefCon","GasEx","GasEx","Status","GasEx","calculate_total_pressure"
"NA","NA","NA","micromol m^(-2) s^(-1)","micromol m^(-2) s^(-1)","micromol mol^(-1)","micromol mol^(-1)","degrees C","kPa"
"100 - wt-4 - ripe5","wt-4","ripe5","100","-1.80919843195681","25.1469792594088","10","27.0054","99.1241808"
"100 - wt-4 - ripe5","wt-4","ripe5","100","-1.57910312371722","34.1306205136496","20","26.9867","99.130515"
"100 - wt-4 - ripe5","wt-4","ripe5","100","-1.09364394323135","40.5794337711092","30","26.9595","99.1369062"
"100 - wt-4 - ripe5","wt-4","ripe5","100","-0.846693212853717","49.7158552295722","40","26.9794","99.140333"
"100 - wt-4 - ripe5","wt-4","ripe5","100","-0.510602807854826","56.4126625530998","50","27.0014","99.141358"
"100 - wt-4 - ripe5","wt-4","ripe5","100","0.0948027640882974","71.4765394649326","75","27.0139","99.139182"
"100 - wt-4 - ripe5","wt-4","ripe5","100","0.530191033180298","85.3191693368431","100","26.9607","99.132761"
"100 - wt-4 - ripe5","wt-4","ripe5","100","1.2622023933056","109.595536426267","150","26.9748","99.138371"
"100 - wt-4 - ripe5","wt-4","ripe5","100","1.75957767646626","135.8878307491","200","26.9858","99.1272848"
"100 - wt-4 - ripe5","wt-4","ripe5","100","2.89535057596709","186.937245276064","300","27.004","99.1224578"
"100 - wt-4 - ripe5","wt-4","ripe5","100","3.942819675261","261.067994467513","400","27.0457","99.1136693"
"100 - wt-4 - ripe5","wt-4","ripe5","100","6.00302136517458","442.282687702063","500","26.9607","99.12164"
"100 - wt-4 - ripe5","wt-4","ripe5","100","6.26363692932851","536.630683641756","600","27.0107","99.119031"
"100 - wt-4 - ripe5","wt-4","ripe5","100","6.96500636082954","721.702424888967","800","27.0191","99.129608"
"100 - wt-4 - ripe5","wt-4","ripe5","100","7.19853336661593","902.543845561309","1000","27.0203","99.136958"
"100 - wt-4 - ripe5","wt-4","ripe5","100","7.42988846326963","1071.82256732562","1200","27.0279","99.1419522"
"100 - wt-4 - ripe5","wt-4","ripe5","100","7.57350248203646","1330.97870171968","1500","26.943","99.147766"
