"curve_identifier","replicate","instrument","ppfd","A","Ci","CO2_r_sp","TleafCnd","total_pressure"
"NA","UserDefCon","UserDefCon","UserDefCon","GasEx","GasEx","Status","GasEx","calculate_total_pressure"
"NA","NA","NA","micromol m^(-2) s^(-1)","micromol m^(-2) s^(-1)","micromol mol^(-1)","micromol mol^(-1)","degrees C","kPa"
"400 - wt-9 - mcgrath1","wt-9","mcgrath1","400","-2.15439496559545","23.2392708201757","10","26.9778","98.773423"
"400 - wt-9 - mcgrath1","wt-9","mcgrath1","400","-1.94806171996887","31.8937645508047","20","26.8729","98.779988"
"400 - wt-9 - mcgrath1","wt-9","mcgrath1","400","-1.50968079714876","39.3322109764426","30","27.0085","98.776153"
"400 - wt-9 - mcgrath1","wt-9","mcgrath1","400","-0.967955716921885","45.930118978306","40","27.0276","98.771915"
"400 - wt-9 - mcgrath1","wt-9","mcgrath1","400","-0.427350639845466","52.0461779142179","50","26.9935","98.770494"
"400 - wt-9 - mcgrath1","wt-9","mcgrath1","400","0.927958932500038","65.4373784445398","75","26.9925","98.774916"
"400 - wt-9 - mcgrath1","wt-9","mcgrath1","400","2.16493346435166","77.7825138084874","100","27.005","98.78491"
"400 - wt-9 - mcgrath1","wt-9","mcgrath1","400","4.25601991584476","103.199271782432","150","27.0238","98.794378"
"400 - wt-9 - mcgrath1","wt-9","mcgrath1","400","6.2286518200888","125.731200492733","200","26.9931","98.7830798"
"400 - wt-9 - mcgrath1","wt-9","mcgrath1","400","10.0167174045054","173.996005172687","300","26.896","98.788502"
"400 - wt-9 - mcgrath1","wt-9","mcgrath1","400","13.262104060316","208.254076879895","400","27.1436","98.784293"
"400 - wt-9 - mcgrath1","wt-9","mcgrath1","400","19.2466776925424","378.216336694887","500","26.923","98.771486"
"400 - wt-9 - mcgrath1","wt-9","mcgrath1","400","21.1249866094475","467.669228981169","600","26.9192","98.7708793"
"400 - wt-9 - mcgrath1","wt-9","mcgrath1","400","23.0442278903569","654.107615107157","800","27.0571","98.7578655"
"400 - wt-9 - mcgrath1","wt-9","mcgrath1","400","23.4996173374415","849.827218352529","1000","26.9648","98.759221"
"400 - wt-9 - mcgrath1","wt-9","mcgrath1","400","22.9971124645021","1049.56477986108","1200","26.8804","98.742417"
"400 - wt-9 - mcgrath1","wt-9","mcgrath1","400","22.6611396300769","1341.1891854093","1500","27.037","98.7274131"
