"Ca","gmc","TleafCnd","total_pressure","oxygen","Qin","curve_identifier","Kc","Ko","Gamma_star","Vcmax_norm","J_norm","RL_norm","gmc_norm","Tp_norm","true_n_Ac_limiting","true_n_Aj_limiting","true_n_Ap_limiting","true_alpha_g","true_alpha_old","true_alpha_s","true_J_at_25","true_RL_at_25","true_Tp_at_25","true_Vcmax_at_25","RSS_reported","Ci_transition","Ci_transition2","Tcorrect","Rd_measured","GammaStar","Km","kminput","gstarinput","fitmethod","citransition","gmeso","fitTPU","alphag","Vcmax","Vcmax_err","Qin_avg","alpha","theta","Rd","Rd_err","ci_star","A_transition","Jmax","Jmax_err","J","J_err","TPU","TPU_err","J_lower","J_upper","Rd_lower","Rd_upper","TPU_lower","TPU_upper","Vcmax_lower","Vcmax_upper","admissible","npts","nparam","dof","RSS","MSE","RMSE","RSE","AIC"
"NA","NA","NA","NA","NA","NA","NA","calculate_temperature_response_arrhenius","calculate_temperature_response_arrhenius","calculate_temperature_response_arrhenius","calculate_temperature_response_arrhenius","calculate_temperature_response_arrhenius","calculate_temperature_response_arrhenius","calculate_temperature_response_johnson","calculate_temperature_response_johnson","NA","NA","NA","","","","","","","","NA","fit_c3_aci_plantecophys","fit_c3_aci_plantecophys","fit_c3_aci_plantecophys","fit_c3_aci_plantecophys","fit_c3_aci_plantecophys","fit_c3_aci_plantecophys","fit_c3_aci_plantecophys","fit_c3_aci_plantecophys","fit_c3_aci_plantecophys","fit_c3_aci_plantecophys","fit_c3_aci_plantecophys","fit_c3_aci_plantecophys","fit_c3_aci_plantecophys","fit_c3_aci_plantecophys","fit_c3_aci_plantecophys","NA","fit_c3_aci_plantecophys","fit_c3_aci_plantecophys","fit_c3_aci_plantecophys","fit_c3_aci_plantecophys","fit_c3_aci_plantecophys","fit_c3_aci_plantecophys","fit_c3_aci_plantecophys","fit_c3_aci_plantecophys","fit_c3_aci_plantecophys","fit_c3_aci_plantecophys","fit_c3_aci_plantecophys","fit_c3_aci_plantecophys","fit_c3_aci_plantecophys","fit_c3_aci_plantecophys","fit_c3_aci_plantecophys","fit_c3_aci_plantecophys","fit_c3_aci_plantecophys","fit_c3_aci_plantecophys","fit_c3_aci_plantecophys","fit_c3_aci_plantecophys","fit_c3_aci_plantecophys","residual_stats","residual_stats","residual_stats","residual_stats","residual_stats","residual_stats","residual_stats","residual_stats"
"micromol mol^(-1)","mol m^(-2) s^(-1) bar^(-1)","degrees C","bar","percent","micromol m^(-2) s^(-1)","","micromol mol^(-1)","mmol mol^(-1)","micromol mol^(-1)","normalized to Vcmax at 25 degrees C","normalized to J at 25 degrees C","normalized to RL at 25 degrees C","normalized to gmc at 25 degrees C","normalized to Tp at 25 degrees C","NA","NA","NA","dimensionless","dimensionless","dimensionless","micromol m^(-2) s^(-1)","micromol m^(-2) s^(-1)","micromol m^(-2) s^(-1)","micromol m^(-2) s^(-1)","NA","micromol mol^(-1)","micromol mol^(-1)","","","micromol mol^(-1)","micromol mol^(-1)","","","","micromol mol^(-1)","mol m^(-2) s^(-1)","","dimensionless","micromol m^(-2) s^(-1)","micromol m^(-2) s^(-1)","NA","dimensionless","dimensionless","micromol m^(-2) s^(-1)","micromol m^(-2) s^(-1)","micromol mol^(-1)","micromol m^(-2) s^(-1)","micromol m^(-2) s^(-1)","micromol m^(-2) s^(-1)","micromol m^(-2) s^(-1)","micromol m^(-2) s^(-1)","micromol m^(-2) s^(-1)","micromol m^(-2) s^(-1)","micromol m^(-2) s^(-1)","micromol m^(-2) s^(-1)","micromol m^(-2) s^(-1)","micromol m^(-2) s^(-1)","micromol m^(-2) s^(-1)","micromol m^(-2) s^(-1)","micromol m^(-2) s^(-1)","micromol m^(-2) s^(-1)","micromol m^(-2) s^(-1)","NA","NA","NA","(micromol m^(-2) s^(-1))^2","(micromol m^(-2) s^(-1))^2","micromol m^(-2) s^(-1)","micromol m^(-2) s^(-1)",""
"420","Inf","25","1","21","1800","Curve 1","269.339066927749","163.714641783332","36.9443833189131","1.00129421850007","1.00101964481088","1.00106952880229","1.00136162647762","1.0009327459823","17","0","0","0","0","0","145.547406748333","1.60244125088677","16.4606548431143","46.7736513387645","0.0969757173094699","1328.99999982962",NA,"FALSE","FALSE","36.9443833189131","614.82560031725","TRUE","TRUE","bilinear",NA,NA,"TRUE","0","46.8341866636427","2.32557590759523e-15","1800","0.36125","0.7","1.60415510795857","6.68437753196134e-16","60.0613697356946","29.2181786985683","145.851433760179",NA,"135.203805021027",NA,NA,NA,NA,NA,"1.60415510795857","1.60415510795857",NA,NA,"46.8341866636427","46.8341866636427","FALSE","17","4","13","0.0969757173094699","0.00570445395938058","0.0755278356593156","0.0863693844036584","-29.586726090176"
"420","Inf","25","1","21","1800","Curve 2","269.339066927749","163.714641783332","36.9443833189131","1.00129421850007","1.00101964481088","1.00106952880229","1.00136162647762","1.0009327459823","14","0","3","0","0","0","125.950158981257","0.809220046047121","5.80910727549344","35.0804832506692","1.82766243571441e-07","36.9443727921628","400.000077544781","FALSE","FALSE","36.9443833189131","614.82560031725","TRUE","TRUE","bilinear",NA,NA,"TRUE","0","35.1258850610835","1.18606514123065e-15","1800","0.36125","0.7","0.810085530193761","2.54421021170642e-16","52.3306408799039","-0.810086097569396",NA,NA,NA,NA,"5.81452569696543",NA,NA,NA,"0.81008553019376","0.810085530193761",NA,NA,"35.1258850610835","35.1258850610835","FALSE","17","4","13","1.82766243571441e-07","1.07509555042024e-08","0.000103686814514684","0.000118570408674288","-253.676700308626"
"420","Inf","25","1","21","1800","Curve 3","269.339066927749","163.714641783332","36.9443833189131","1.00129421850007","1.00101964481088","1.00106952880229","1.00136162647762","1.0009327459823","8","0","9","0","0","0","124.681234126352","2.27772794398945","3.14690385617316","95.9278383455239","24.6819466232772","58.1173721801378","400.000077544781","FALSE","FALSE","36.9443833189131","614.82560031725","TRUE","TRUE","bilinear",NA,NA,"TRUE","0","83.2142005327339","5.28183611507392","1800","0.36125","0.7","2.08394687001233","0.319488330940713",NA,"0.508321638409847","67.4804817256279",NA,"65.2940058652174",NA,"3.08443339489603",NA,NA,NA,"1.45774974136853","2.71014399865612",NA,NA,"72.861801747189","93.5665993182788","FALSE","17","4","13","24.6819466232772","1.45187921313395","1.20493950600599","1.37790104097269","64.5825084776831"
"420","Inf","25","1","21","1800","Curve 4","269.339066927749","163.714641783332","36.9443833189131","1.00129421850007","1.00101964481088","1.00106952880229","1.00136162647762","1.0009327459823","13","4","0","0","0","0","184.216428957321","0.970993463299237","17.5572359490581","84.4920419288101","0.00757693743156234","573.839879035293",NA,"FALSE","FALSE","36.9443833189131","614.82560031725","TRUE","TRUE","bilinear",NA,NA,"TRUE","0","84.6013930925827","4.88039847599559e-15","1800","0.36125","0.7","0.972031968775074","8.62179654162744e-16","44.5203422370196","36.8623157477381","206.303101223379",NA,"184.404264283186",NA,NA,NA,NA,NA,"0.972031968775073","0.972031968775076",NA,NA,"84.6013930925827","84.6013930925827","FALSE","17","4","13","0.00757693743156234","0.000445702201856608","0.0211116603292258","0.0241421072172545","-72.9257020136874"
"420","Inf","25","1","21","1800","Curve 5","269.339066927749","163.714641783332","36.9443833189131","1.00129421850007","1.00101964481088","1.00106952880229","1.00136162647762","1.0009327459823","11","0","6","0","0","0","188.570318754599","1.26797972631175","9.02404085695744","109.193462848081","4.99657283519083","208.964098661211","400.000077544781","FALSE","FALSE","36.9443833189131","614.82560031725","TRUE","TRUE","bilinear",NA,NA,"TRUE","0","109.334783047785","5.71534423235743e-15","1800","0.36125","0.7","1.26933586714976","4.64557835084147e-16","44.6009165890467","21.3353690006292","163.689846865941",NA,"150.162871292792",NA,"9.0324579948109",NA,NA,NA,"1.26933586714976","1.26933586714976",NA,NA,"109.334783047785","109.334783047785","FALSE","17","4","13","4.99657283519083","0.293916049128872","0.542140248578606","0.619961092773684","37.42807143575"
"420","Inf","25","1","21","1800","Curve 6","269.339066927749","163.714641783332","36.9443833189131","1.00129421850007","1.00101964481088","1.00106952880229","1.00136162647762","1.0009327459823","6","11","0","0","0","0","83.5909694038099","1.46516326073557","8.17190252667293","96.8063829514431","0.000468751452210243","74.9797355501845",NA,"FALSE","FALSE","36.9443833189131","614.82560031725","TRUE","TRUE","bilinear",NA,NA,"TRUE","0","96.9316715631833","1.02679506201577e-14","1800","0.36125","0.7","1.46673029504299","2.40848183672641e-16","46.9638017241526","3.82509162667744","87.3835960821865",NA,"83.6762025019989",NA,NA,NA,NA,NA,"1.46673029504299","1.46673029504299",NA,NA,"96.9316715631833","96.9316715631833","FALSE","17","4","13","0.000468751452210243","2.75736148358966e-05","0.00525105844910306","0.00600481506927337","-120.233160724808"
"420","Inf","25","1","21","1800","Curve 7","269.339066927749","163.714641783332","36.9443833189131","1.00129421850007","1.00101964481088","1.00106952880229","1.00136162647762","1.0009327459823","0","17","0","0","0","0","31.4785098014632","1.89063093741192","12.0353985546716","95.2503358495887","0.00172075923673687","36.9443853847634","1317.53635844756","FALSE","FALSE","36.9443833189131","614.82560031725","TRUE","TRUE","bilinear",NA,NA,"TRUE","0","49.4890648913953","1.78509449866703","1800","0.36125","0.7","1.90764388330266","0.021217220916681","72.2445694860644","-1.90764373628114","32.0822121272874",NA,"31.5980450086139",NA,"2.42342677649814",NA,NA,NA,"1.86605813030597","1.94922963629936",NA,NA,"45.9902796740079","52.9878501087827","FALSE","17","4","13","0.00172075923673687","0.000101221131572757","0.0100608713128017","0.0115050465072335","-98.1255410903617"
"420","Inf","25","1","21","1800","Curve 8","269.339066927749","163.714641783332","36.9443833189131","1.00129421850007","1.00101964481088","1.00106952880229","1.00136162647762","1.0009327459823","9","0","8","0","0","0","136.742220030655","1.71116492936853","2.68600964946672","55.3990659936098","4.94837291354768","85.9573512599933","400.000077544781","FALSE","FALSE","36.9443833189131","614.82560031725","TRUE","TRUE","bilinear",NA,NA,"TRUE","0","55.4707644897051","9.26719785271678e-15","1800","0.36125","0.7","1.71299506954596","2.9947069500446e-16",NA,"2.12823451625718","51.8922399288289",NA,"50.6107456519581",NA,"2.68851501417569",NA,NA,NA,"1.71299506954596","1.71299506954596",NA,NA,"55.4707644897051","55.4707644897052","FALSE","17","4","13","4.94837291354768","0.291080759620452","0.539519007654459","0.616963589098173","37.2632831896019"
