"Ca","gmc","TleafCnd","total_pressure","oxygen","Qin","curve_identifier","Kc","Ko","Gamma_star","Vcmax_norm","J_norm","RL_norm","gmc_norm","Tp_norm","true_n_Ac_limiting","true_n_Aj_limiting","true_n_Ap_limiting","true_alpha_g","true_alpha_old","true_alpha_s","true_J_at_25","true_RL_at_25","true_Tp_at_25","true_Vcmax_at_25","VcMax","J","TPU","gm","rL","ag","as","J_lower","J_upper","rL_lower","rL_upper","TPU_lower","TPU_upper","VcMax_lower","VcMax_upper","npts","nparam","dof","RSS","MSE","RMSE","RSE","AIC"
"NA","NA","NA","NA","NA","NA","NA","calculate_temperature_response_arrhenius","calculate_temperature_response_arrhenius","calculate_temperature_response_arrhenius","calculate_temperature_response_arrhenius","calculate_temperature_response_arrhenius","calculate_temperature_response_arrhenius","calculate_temperature_response_johnson","calculate_temperature_response_johnson","NA","NA","NA","","","","","","","","fit_c3_aci_msu","fit_c3_aci_msu","fit_c3_aci_msu","fit_c3_aci_msu","fit_c3_aci_msu","fit_c3_aci_msu","fit_c3_aci_msu","fit_c3_aci_msu","fit_c3_aci_msu","fit_c3_aci_msu","fit_c3_aci_msu","fit_c3_aci_msu","fit_c3_aci_msu","fit_c3_aci_msu","fit_c3_aci_msu","residual_stats","residual_stats","residual_stats","residual_stats","residual_stats","residual_stats","residual_stats","residual_stats"
"micromol mol^(-1)","mol m^(-2) s^(-1) bar^(-1)","degrees C","bar","percent","micromol m^(-2) s^(-1)","","micromol mol^(-1)","mmol mol^(-1)","micromol mol^(-1)","normalized to Vcmax at 25 degrees C","normalized to J at 25 degrees C","normalized to RL at 25 degrees C","normalized to gmc at 25 degrees C","normalized to Tp at 25 degrees C","NA","NA","NA","dimensionless","dimensionless","dimensionless","micromol m^(-2) s^(-1)","micromol m^(-2) s^(-1)","micromol m^(-2) s^(-1)","micromol m^(-2) s^(-1)","micromol m^(-2) s^(-1)","micromol m^(-2) s^(-1)","micromol m^(-2) s^(-1)","","micromol m^(-2) s^(-1)","dimensionless","dimensionless","micromol m^(-2) s^(-1)","micromol m^(-2) s^(-1)","micromol m^(-2) s^(-1)","micromol m^(-2) s^(-1)","micromol m^(-2) s^(-1)","micromol m^(-2) s^(-1)","micromol m^(-2) s^(-1)","micromol m^(-2) s^(-1)","NA","NA","NA","(micromol m^(-2) s^(-1))^2","(micromol m^(-2) s^(-1))^2","micromol m^(-2) s^(-1)","micromol m^(-2) s^(-1)",""
"420","Inf","25","1","21","1800","Curve 1","269.339066927749","163.714641783332","36.9443833189131","1.00129421850007","1.00101964481088","1.00106952880229","1.00136162647762","1.0009327459823","17","0","0","0.102921696189342","0","0.356153268003836","145.547406748333","1.60244125088677","16.4606548431143","46.7736513387645","48.141565027485","141.25561458274","10.2992342937989","Inf","3.01716153427809","0.611857450096631","0.75",NA,NA,NA,NA,NA,NA,NA,NA,"17","6","11","0.0300041394505925","0.00176494937944662","0.0420113006159845","0.0522268995917138","-45.5298554475835"
"420","Inf","25","1","21","1800","Curve 2","269.339066927749","163.714641783332","36.9443833189131","1.00129421850007","1.00101964481088","1.00106952880229","1.00136162647762","1.0009327459823","14","0","3","0.32115387180562","0","0.535430860961787","125.950158981257","0.809220046047121","5.80910727549344","35.0804832506692","35.4957928323583","89.4700232589255","5.96844960432693","Inf","1.2854642436024","0.549701335849287","0.75",NA,NA,NA,NA,NA,NA,NA,NA,"17","6","11","0.0105310934564652","0.000619476085674426","0.0248892765197068","0.0309414306780719","-63.3289096955323"
"420","Inf","25","1","21","1800","Curve 3","269.339066927749","163.714641783332","36.9443833189131","1.00129421850007","1.00101964481088","1.00106952880229","1.00136162647762","1.0009327459823","9","1","7","0.338741532058466","0","0.508650917810155","124.681234126352","2.27772794398945","3.14690385617316","95.9278383455239","99.4321699257229","83.3800635868996","5.03438375014572","Inf","6.10201811941674","1","0",NA,NA,NA,NA,NA,NA,NA,NA,"17","6","11","14.2894292809831","0.840554663587239","0.916817682850434","1.13975393201511","59.2911241775104"
"420","Inf","25","1","21","1800","Curve 4","269.339066927749","163.714641783332","36.9443833189131","1.00129421850007","1.00101964481088","1.00106952880229","1.00136162647762","1.0009327459823","13","4","0","0.401586077315712","0","0.837078613257036","184.216428957321","0.970993463299237","17.5572359490581","84.4920419288101","84.1799805139278","183.820717373993","12.8318602016666","Inf","0.831809566943842","0.371209454376989","0.75",NA,NA,NA,NA,NA,NA,NA,NA,"17","6","11","0.0432071924024697","0.00254159955308645","0.0504142792578299","0.0626731727459421","-39.3304379354645"
"420","Inf","25","1","21","1800","Curve 5","269.339066927749","163.714641783332","36.9443833189131","1.00129421850007","1.00101964481088","1.00106952880229","1.00136162647762","1.0009327459823","11","0","6","0.0254961048844714","0","0.342176993817557","188.570318754599","1.26797972631175","9.02404085695744","109.193462848081","108.880442871355","176.457244309647","9.03298342933028","Inf","1.27090998653738","0.0253993535155596","0.342192000346462",NA,NA,NA,NA,NA,NA,NA,NA,"17","6","11","4.25072678441999","0.250042752024705","0.500042750197126","0.621634705976544","38.679812879057"
"420","Inf","25","1","21","1800","Curve 6","269.339066927749","163.714641783332","36.9443833189131","1.00129421850007","1.00101964481088","1.00106952880229","1.00136162647762","1.0009327459823","3","15","0","0.470844792352499","0","0.628227578070946","83.5909694038099","1.46516326073557","8.17190252667293","96.8063829514431","93.2044595399611","79.3715968785883","5.77776119806359","Inf","0.415700391574462","0.289308577818587","0.309007525174115",NA,NA,NA,NA,NA,NA,NA,NA,"17","6","11","0.003606456577276","0.000212144504545647","0.0145651812397116","0.0181068961681254","-81.5462190057655"
"420","Inf","25","1","21","1800","Curve 7","269.339066927749","163.714641783332","36.9443833189131","1.00129421850007","1.00101964481088","1.00106952880229","1.00136162647762","1.0009327459823","0","17","0","0.295810954515221","0","0.637491794963134","31.4785098014632","1.89063093741192","12.0353985546716","95.2503358495887","33.7718793858427","29.5631193092607","2.064116415441","Inf","1.40578117381004","0.0426100287763322","0.554359945030791",NA,NA,NA,NA,NA,NA,NA,NA,"17","6","11","4.97321897494333e-05","2.92542292643725e-06","0.00171038677685407","0.00212628976365861","-154.371305328501"
"420","Inf","25","1","21","1800","Curve 8","269.339066927749","163.714641783332","36.9443833189131","1.00129421850007","1.00101964481088","1.00106952880229","1.00136162647762","1.0009327459823","9","0","8","0.0368809094230163","0","0.0729940107453149","136.742220030655","1.71116492936853","2.68600964946672","55.3990659936098","51.2965760260403","37.5690455403784","2.98758347561989","Inf","0.881370118292457","0","0",NA,NA,NA,NA,NA,NA,NA,NA,"17","6","11","22.3516347123756","1.31480204190445","1.14664817703795","1.42547072647394","66.8965740979324"
