"Ca","gmc","TleafCnd","total_pressure","oxygen","Qin","curve_identifier","Kc","Ko","Gamma_star","Vcmax_norm","J_norm","RL_norm","gmc_norm","Tp_norm","true_n_Ac_limiting","true_n_Aj_limiting","true_n_Ap_limiting","true_alpha_g","true_alpha_old","true_alpha_s","true_J_at_25","true_RL_at_25","true_Tp_at_25","true_Vcmax_at_25","A","TleafCnd.1","Ci","Qin.1","C_i","A_net","PPFD","T_leaf","C","V_cmax_pred","J_max_pred","V_TPU_part","Ac","Aj","Ap","W_carbox","W_regen","W_tpu","A_model","A_residuals","Ac_limiting","Aj_limiting","Ap_limiting","limiting_process"
"NA","NA","NA","NA","NA","NA","NA","calculate_temperature_response_arrhenius","calculate_temperature_response_arrhenius","calculate_temperature_response_arrhenius","calculate_temperature_response_arrhenius","calculate_temperature_response_arrhenius","calculate_temperature_response_arrhenius","calculate_temperature_response_johnson","calculate_temperature_response_johnson","NA","NA","NA","","","","","","","","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","fit_c3_aci_photosynthesis","fit_c3_aci_photosynthesis","fit_c3_aci_photosynthesis","NA","NA","NA","fit_c3_aci_photosynthesis","fit_c3_aci_photosynthesis","identify_c3_limits","identify_c3_limits","identify_c3_limits","identify_c3_limits"
"micromol mol^(-1)","mol m^(-2) s^(-1) bar^(-1)","degrees C","bar","percent","micromol m^(-2) s^(-1)","","micromol mol^(-1)","mmol mol^(-1)","micromol mol^(-1)","normalized to Vcmax at 25 degrees C","normalized to J at 25 degrees C","normalized to RL at 25 degrees C","normalized to gmc at 25 degrees C","normalized to Tp at 25 degrees C","NA","NA","NA","dimensionless","dimensionless","dimensionless","micromol m^(-2) s^(-1)","micromol m^(-2) s^(-1)","micromol m^(-2) s^(-1)","micromol m^(-2) s^(-1)","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","micromol m^(-2) s^(-1)","micromol m^(-2) s^(-1)","micromol m^(-2) s^(-1)","NA","NA","NA","micromol m^(-2) s^(-1)","micromol m^(-2) s^(-1)","","","",""
"420","Inf","298.15","1","21","1800","Curve 1","269.339066927749","163.714641783332","36.9443833189131","1.00129421850007","1.00101964481088","1.00106952880229","1.00136162647762","1.0009327459823","17","0","0","0.102921696189342","0","0.356153268003836","145.547406748333","1.60244125088677","16.4606548431143","46.7736513387645","-2.20013652668743","298.15","25","1800","25","-2.20013652668743","1800","298.15","25","-0.0186681860072348","-0.120786048051935","1","-2.20013652668743","-5.38979312083731",NA,"-0.869208651333926","-4.05886524548381","3000","-2.20013652668743","8.88178419700125e-16","TRUE","FALSE","FALSE","Ac"
"420","Inf","298.15","1","21","1800","Curve 1","269.339066927749","163.714641783332","36.9443833189131","1.00129421850007","1.00101964481088","1.00106952880229","1.00136162647762","1.0009327459823","17","0","0","0.102921696189342","0","0.356153268003836","145.547406748333","1.60244125088677","16.4606548431143","46.7736513387645","-1.61442125937913","298.15","33","1800","33","-1.61442125937913","1800","298.15","33","-0.00608864996533247","-0.0369017572471199","1","-1.61442125937914","-2.57096563139643",NA,"-0.283493384025634","-1.24003775604293","3000","-1.61442125937914","8.88178419700125e-16","TRUE","FALSE","FALSE","Ac"
"420","Inf","298.15","1","21","1800","Curve 1","269.339066927749","163.714641783332","36.9443833189131","1.00129421850007","1.00101964481088","1.00106952880229","1.00136162647762","1.0009327459823","17","0","0","0.102921696189342","0","0.356153268003836","145.547406748333","1.60244125088677","16.4606548431143","46.7736513387645","-1.04299552921669","298.15","41","1800","41","-1.04299552921669","1800","298.15","41","0.00618398653411062","0.0353003761792635","1","-1.04299552921669","-0.144702542731391",NA,"0.287932346136808","1.18622533262211","3000","-1.04299552921669","1.11022302462516e-15","TRUE","FALSE","FALSE","Ac"
"420","Inf","298.15","1","21","1800","Curve 1","269.339066927749","163.714641783332","36.9443833189131","1.00129421850007","1.00101964481088","1.00106952880229","1.00136162647762","1.0009327459823","17","0","0","0.102921696189342","0","0.356153268003836","145.547406748333","1.60244125088677","16.4606548431143","46.7736513387645","-0.623492018962152","298.15","47","1800","47","-0.623492018962152","1800","298.15","47","0.0151937559929182","0.0831807368108302","1","-0.623492018962153","1.46425755525224",NA,"0.707435856391348","2.79518543060574","3000","-0.623492018962153","1.11022302462516e-15","TRUE","FALSE","FALSE","Ac"
"420","Inf","298.15","1","21","1800","Curve 1","269.339066927749","163.714641783332","36.9443833189131","1.00129421850007","1.00101964481088","1.00106952880229","1.00136162647762","1.0009327459823","17","0","0","0.102921696189342","0","0.356153268003836","145.547406748333","1.60244125088677","16.4606548431143","46.7736513387645","-0.211526467900345","298.15","53","1800","53","-0.211526467900345","1800","298.15","53","0.0240416310387917","0.126533002932512","1","-0.211526467900346","2.92105665673952",NA,"1.11940140745316","4.25198453209302","3000","-0.211526467900346","8.88178419700125e-16","TRUE","FALSE","FALSE","Ac"
"420","Inf","298.15","1","21","1800","Curve 1","269.339066927749","163.714641783332","36.9443833189131","1.00129421850007","1.00101964481088","1.00106952880229","1.00136162647762","1.0009327459823","17","0","0","0.102921696189342","0","0.356153268003836","145.547406748333","1.60244125088677","16.4606548431143","46.7736513387645","0.786712862958188","298.15","68","1800","68","0.786712862958188","1800","298.15","68","0.0454810374225249","0.218872976465832","1","0.786712862958186","6.0240268705024",NA,"2.11764073831169","7.35495474585591","3000","0.786712862958186","1.55431223447522e-15","TRUE","FALSE","FALSE","Ac"
"420","Inf","298.15","1","21","1800","Curve 1","269.339066927749","163.714641783332","36.9443833189131","1.00129421850007","1.00101964481088","1.00106952880229","1.00136162647762","1.0009327459823","17","0","0","0.102921696189342","0","0.356153268003836","145.547406748333","1.60244125088677","16.4606548431143","46.7736513387645","1.61704037999984","298.15","81","1800","81","1.61704037999984","1800","298.15","81","0.0633141647289213","0.284433904649143","1","1.61704037999984","8.22712049891952",NA,"2.94796825535334","9.55804837427302","3000","1.61704037999984","6.66133814775094e-16","TRUE","FALSE","FALSE","Ac"
"420","Inf","298.15","1","21","1800","Curve 1","269.339066927749","163.714641783332","36.9443833189131","1.00129421850007","1.00101964481088","1.00106952880229","1.00136162647762","1.0009327459823","17","0","0","0.102921696189342","0","0.356153268003836","145.547406748333","1.60244125088677","16.4606548431143","46.7736513387645","3.18797076826733","298.15","107","1800","107","3.18797076826733","1800","298.15","107","0.0970533833245825","0.387285611943784","1","3.18797076826733","11.6833244803379",NA,"4.51889864362083","13.0142523556914","3000","3.18797076826733","0","TRUE","FALSE","FALSE","Ac"
